Trip_ID,Employee_ID,Department,Travel_Date,Type,Origin,Destination,Class,Nights,Distance_km,Amount_INR,Vendor,CO2_Reported_gCO2
TRP-2024-001,EMP-045,Engineering,2024-01-08,FLIGHT,DEL,BOM,ECONOMY,,,,IndiGo,
TRP-2024-002,EMP-087,Sales,2024-01-09,FLIGHT,BOM,LHR,BUSINESS,,,,Air India,
TRP-2024-003,EMP-045,Engineering,2024-01-10,HOTEL,,,,,,,Marriott Mumbai,
TRP-2024-004,EMP-112,Marketing,2024-01-11,CAR,,,,,,3200,Ola,
TRP-2024-005,EMP-033,HR,2024-01-12,FLIGHT,DEL,SIN,ECONOMY,,,,Singapore Airlines,312000
TRP-2024-006,EMP-033,HR,2024-01-14,HOTEL,,,,,,,Marina Bay Sands,
TRP-2024-007,EMP-033,HR,2024-01-16,FLIGHT,SIN,DEL,ECONOMY,,,,Singapore Airlines,
TRP-2024-008,EMP-201,Finance,2024-01-15,FLIGHT,BLR,HYD,ECONOMY,,,,IndiGo,
TRP-2024-009,EMP-201,Finance,2024-01-15,CAR,,,,,,1800,Uber,
TRP-2024-010,EMP-055,Operations,2024-01-18,RAIL,DEL,BOM,,,1384,,Indian Railways,
TRP-2024-011,EMP-087,Sales,2024-01-20,HOTEL,,,,,,,Premier Inn London,
TRP-2024-012,EMP-087,Sales,2024-01-22,FLIGHT,LHR,BOM,BUSINESS,,,,British Airways,
